factura_id,fecha,nombre,cliente_id,estado,condicion_pago,fecha_vencimiento,base_imponible,iva_total,total_factura
1,11/10/2025,NINAVIBES S.L.,422777310396,,,11/10/2025,"355,84","74,7264","430,5664"
2,11/10/2025,Las Tablas del Rey,423549031616,Pagado,21,1/11/2025,"177,96","37,3716","215,3316"
3,26/10/2025,La Sureña - Mijas,425826400474,Pagado,21,16/11/2025,"68,24","14,3304","82,5704"
4,26/10/2025,La Sureña - Huelin,424730192109,Pagado,21,16/11/2025,"53,41","11,2161","64,6261"
5,26/10/2025,La Sureña - Torremolinos,426146644198,,21,16/11/2025,"29,66","6,2286","35,8886"
6,26/10/2025,La Sureña - El Torcal,426146642153,,21,16/11/2025,"38,58","8,1018","46,6818"
7,26/10/2025,La Sureña - El Palo,426146643181,,21,16/11/2025,"47,5","9,975","57,475"
8,28/10/2025,ALONSO MEDIADORES S.L.,429008446682,Pagado,21,18/11/2025,"53,52","11,2392","64,7592"
9,3/11/2025,Las Tablas del Rey,423549031616,Pagado,21,24/11/2025,"124,44","26,1324","150,5724"
10,1/11/2025,NINAVIBES S.L.,422777310396,,21,22/11/2025,"147,72","31,0212","178,7412"
11,1/11/2025,NINAVIBES S.L.,422777310396,,21,22/11/2025,"63,69","13,3749","77,0649"
12,8/11/2025,NINAVIBES S.L.,422777310396,,21,29/11/2025,"90,984","19,10664","110,09064"
13,15/11/2025,Bar Atuel,415150265590,Pagado,21,6/12/2025,"127,38","26,7498","154,1298"
14,15/11/2025,Bar Atuel,415150265590,Pagado,21,6/12/2025,"53,52","11,2392","64,7592"
15,25/11/2025,KACHAFAZ SL,429007730890,Pagado,21,16/12/2025,"415,32","87,2172","502,5372"
16,26/10/2025,ALONSO MEDIADORES S.L.,429008446682,Pagado,21,16/11/2025,"160,56","33,7176","194,2776"
17,9/12/2025,La Sureña - Estepona,425826401481,,21,30/12/2025,"44,49","9,3429","53,8329"
18,9/12/2025,NINAVIBES S.L.,422777310396,,21,30/12/2025,"142,72","29,9712","172,6912"
19,9/12/2025,NINAVIBES S.L.,422777310396,,21,30/12/2025,"214,08","44,9568","259,0368"
20,10/12/2025,Bar Atuel,415150265590,Pagado,21,31/12/2025,"127,38","26,7498","154,1298"
21,11/12/2025,La Sureña - Estepona,425826401481,,21,1/1/2026,"26,76","5,6196","32,3796"
