linea_id,factura_id,sku,descripcion,cantidad,precio_unitario,iva,descuento,subtotal
1000,1,SER-MAL-750,Serbal Malbec,10,"6,28",21,0,"62,8"
1000,1,CAT-CHA-750,Catalpa chardonnay,6,"9,25",21,0,"55,5"
1000,1,CAT-MAL-750,Catalpa Malbec,6,"9,25",21,0,"55,5"
1000,1,ATA-MAL-750,Atamisque Malbec,6,"12,65",21,0,"75,9"
1000,1,ATA-ASS-750,Atamisque Assemblage,6,"17,69",21,0,"106,14"
1001,2,SER-MAL-750,Serbal Malbec,12,"5,91",21,0,"70,92"
1002,2,CAT-CHA-750,Catalpa chardonnay,6,"8,92",21,0,"53,52"
1003,2,CAT-MAL-750,Catalpa Malbec,6,"8,92",21,0,"53,52"
1004,3,SER-MAL-750,Serbal Malbec,4,"5,91",21,0,"23,64"
1005,3,CAT-CHA-750,Catalpa chardonnay,1,"8,92",21,0,"8,92"
1006,3,CAT-MAL-750,Catalpa Malbec,4,"8,92",21,0,"35,68"
1007,4,SER-MAL-750,Serbal Malbec,3,"5,91",21,0,"17,73"
1008,4,CAT-CHA-750,Catalpa chardonnay,1,"8,92",21,0,"8,92"
1009,4,CAT-MAL-750,Catalpa Malbec,3,"8,92",21,0,"26,76"
1010,5,SER-MAL-750,Serbal Malbec,2,"5,91",21,0,"11,82"
1011,5,CAT-CHA-750,Catalpa chardonnay,1,"8,92",21,0,"8,92"
1012,5,CAT-MAL-750,Catalpa Malbec,1,"8,92",21,0,"8,92"
1013,6,SER-MAL-750,Serbal Malbec,2,"5,91",21,0,"11,82"
1014,6,CAT-CHA-750,Catalpa chardonnay,1,"8,92",21,0,"8,92"
1015,6,CAT-MAL-750,Catalpa Malbec,2,"8,92",21,0,"17,84"
1016,7,SER-MAL-750,Serbal Malbec,2,"5,91",21,0,"11,82"
1017,7,CAT-CHA-750,Catalpa chardonnay,1,"8,92",21,0,"8,92"
1018,7,CAT-MAL-750,Catalpa Malbec,3,"8,92",21,0,"26,76"
1019,8,CAT-MAL-750,Catalpa Malbec,6,"8,92",21,0,"53,52"
1020,9,SER-MAL-750,Serbal Malbec,12,"5,91",21,0,"70,92"
1021,9,CAT-CHA-750,Catalpa chardonnay,6,"8,92",21,0,"53,52"
1022,10,ATA-MAL-750,Atamisque Malbec,6,"12,31",21,0,"73,86"
1023,10,ATA-ASS-750,Atamisque Assemblage,6,"12,31",21,0,"73,86"
1024,11,CAT-MAL-750,Catalpa Malbec,3,"8,92",21,0,"26,76"
1025,11,ATA-MAL-750,Atamisque Malbec,3,"12,31",21,0,"36,93"
1026,12,CAT-MAL-750,Catalpa Malbec,12,"8,92",21,15,"90,984"
1027,13,CAT-MAL-750,Catalpa Malbec,6,"8,92",21,0,"53,52"
1028,13,ATA-MAL-750,Atamisque Malbec,6,"12,31",21,0,"73,86"
